Period,Value,date
Jul-2004,158532,2004-07-01
Aug-2004,193143,2004-08-01
Sep-2004,192003,2004-09-01
Oct-2004,191852,2004-10-01
Nov-2004,212069,2004-11-01
Dec-2004,190954,2004-12-01
Jan-2005,201492,2005-01-01
Feb-2005,204751,2005-02-01
Mar-2005,201687,2005-03-01
Apr-2005,204004,2005-04-01
May-2005,203505,2005-05-01
Jun-2005,209790,2005-06-01
Jul-2005,207029,2005-07-01
Aug-2005,205775,2005-08-01
Sep-2005,185268,2005-09-01
Oct-2005,231658,2005-10-01
Nov-2005,223256,2005-11-01
Dec-2005,230804,2005-12-01
Jan-2006,216199,2006-01-01
Feb-2006,226082,2006-02-01
Mar-2006,222478,2006-03-01
Apr-2006,223175,2006-04-01
May-2006,222015,2006-05-01
Jun-2006,217995,2006-06-01
Jul-2006,219539,2006-07-01
Aug-2006,219765,2006-08-01
Sep-2006,212957,2006-09-01
Oct-2006,207845,2006-10-01
Nov-2006,202934,2006-11-01
Dec-2006,244234,2006-12-01
Jan-2007,206619,2007-01-01
Feb-2007,217702,2007-02-01
Mar-2007,216009,2007-03-01
Apr-2007,214484,2007-04-01
May-2007,220727,2007-05-01
Jun-2007,221692,2007-06-01
Jul-2007,220970,2007-07-01
Aug-2007,218900,2007-08-01
Sep-2007,227203,2007-09-01
Oct-2007,234335,2007-10-01
Nov-2007,213920,2007-11-01
Dec-2007,242770,2007-12-01
Jan-2008,207006,2008-01-01
Feb-2008,210105,2008-02-01
Mar-2008,220343,2008-03-01
Apr-2008,219377,2008-04-01
May-2008,216054,2008-05-01
Jun-2008,210741,2008-06-01
Jul-2008,209893,2008-07-01
Aug-2008,222778,2008-08-01
Sep-2008,211414,2008-09-01
Oct-2008,206147,2008-10-01
Nov-2008,204808,2008-11-01
Dec-2008,185276,2008-12-01
Jan-2009,206946,2009-01-01
Feb-2009,194848,2009-02-01
Mar-2009,198691,2009-03-01
Apr-2009,199044,2009-04-01
May-2009,200048,2009-05-01
Jun-2009,203109,2009-06-01
Jul-2009,207546,2009-07-01
Aug-2009,201784,2009-08-01
Sep-2009,206624,2009-09-01
Oct-2009,204317,2009-10-01
Nov-2009,207969,2009-11-01
Dec-2009,199582,2009-12-01
Jan-2010,200953,2010-01-01
Feb-2010,201908,2010-02-01
Mar-2010,203478,2010-03-01
Apr-2010,206464,2010-04-01
May-2010,210955,2010-05-01
Jun-2010,204893,2010-06-01
Jul-2010,207887,2010-07-01
Aug-2010,207842,2010-08-01
Sep-2010,214479,2010-09-01
Oct-2010,214464,2010-10-01
Nov-2010,221814,2010-11-01
Dec-2010,204589,2010-12-01
Jan-2011,219691,2011-01-01
Feb-2011,223673,2011-02-01
Mar-2011,213427,2011-03-01
Apr-2011,214026,2011-04-01
May-2011,186272,2011-05-01
Jun-2011,220027,2011-06-01
Jul-2011,217025,2011-07-01
Aug-2011,213321,2011-08-01
Sep-2011,212601,2011-09-01
Oct-2011,205917,2011-10-01
Nov-2011,221426,2011-11-01
Dec-2011,227574,2011-12-01
Jan-2012,185055,2012-01-01
Feb-2012,213998,2012-02-01
Mar-2012,216903,2012-03-01
Apr-2012,218032,2012-04-01
May-2012,220285,2012-05-01
Jun-2012,208584,2012-06-01
Jul-2012,208503,2012-07-01
Aug-2012,209053,2012-08-01
Sep-2012,206892,2012-09-01
Oct-2012,212844,2012-10-01
Nov-2012,202224,2012-11-01
Dec-2012,273757,2012-12-01
Jan-2013,220252,2013-01-01
Feb-2013,211673,2013-02-01
Mar-2013,216677,2013-03-01
Apr-2013,213336,2013-04-01
May-2013,206697,2013-05-01
Jun-2013,217100,2013-06-01
Jul-2013,218371,2013-07-01
Aug-2013,221731,2013-08-01
Sep-2013,212580,2013-09-01
Oct-2013,223764,2013-10-01
Nov-2013,221569,2013-11-01
Dec-2013,227500,2013-12-01
Jan-2014,210520,2014-01-01
Feb-2014,222027,2014-02-01
Mar-2014,228186,2014-03-01
Apr-2014,226108,2014-04-01
May-2014,222985,2014-05-01
Jun-2014,226331,2014-06-01
Jul-2014,222104,2014-07-01
Aug-2014,226326,2014-08-01
Sep-2014,227969,2014-09-01
Oct-2014,226874,2014-10-01
Nov-2014,221791,2014-11-01
Dec-2014,205338,2014-12-01
Jan-2015,257618,2015-01-01
Feb-2015,229218,2015-02-01
Mar-2015,229371,2015-03-01
Apr-2015,231346,2015-04-01
May-2015,224790,2015-05-01
Jun-2015,233807,2015-06-01
Jul-2015,237168,2015-07-01
Aug-2015,234164,2015-08-01
Sep-2015,239794,2015-09-01
Oct-2015,243138,2015-10-01
Nov-2015,236618,2015-11-01
Dec-2015,225626,2015-12-01
Jan-2016,261914,2016-01-01
Feb-2016,240874,2016-02-01
Mar-2016,236942,2016-03-01
Apr-2016,244292,2016-04-01
May-2016,255054,2016-05-01
Jun-2016,216278,2016-06-01
Jul-2016,260768,2016-07-01
Aug-2016,247348,2016-08-01
Sep-2016,254331,2016-09-01
Oct-2016,244737,2016-10-01
Nov-2016,252210,2016-11-01
Dec-2016,260484,2016-12-01
Jan-2017,265289,2017-01-01
Feb-2017,259601,2017-02-01
Mar-2017,261978,2017-03-01
Apr-2017,261666,2017-04-01
May-2017,261858,2017-05-01
Jun-2017,266263,2017-06-01
Jul-2017,267100,2017-07-01
Aug-2017,267790,2017-08-01
Sep-2017,259341,2017-09-01
Oct-2017,271236,2017-10-01
Nov-2017,280492,2017-11-01
Dec-2017,268456,2017-12-01
Jan-2018,298447,2018-01-01
Feb-2018,284043,2018-02-01
Mar-2018,289219,2018-03-01
Apr-2018,286241,2018-04-01
May-2018,294713,2018-05-01
Jun-2018,294371,2018-06-01
Jul-2018,291297,2018-07-01
Aug-2018,293192,2018-08-01
Sep-2018,289544,2018-09-01
Oct-2018,284486,2018-10-01
Nov-2018,288942,2018-11-01
Dec-2018,298230,2018-12-01
Jan-2019,278477,2019-01-01
Feb-2019,296038,2019-02-01
Mar-2019,300404,2019-03-01
Apr-2019,293665,2019-04-01
May-2019,289529,2019-05-01
Jun-2019,287334,2019-06-01
Jul-2019,281692,2019-07-01
Aug-2019,288026,2019-08-01
Sep-2019,289848,2019-09-01
Oct-2019,295747,2019-10-01
Nov-2019,290562,2019-11-01
Dec-2019,312764,2019-12-01
Jan-2020,282488,2020-01-01
Feb-2020,299878,2020-02-01
Mar-2020,258163,2020-03-01
Apr-2020,234362,2020-04-01
May-2020,295129,2020-05-01
Jun-2020,378508,2020-06-01
Jul-2020,558688,2020-07-01
Aug-2020,476532,2020-08-01
Sep-2020,432199,2020-09-01
Oct-2020,408164,2020-10-01
Nov-2020,391133,2020-11-01
Dec-2020,343688,2020-12-01
Jan-2021,489487,2021-01-01
Feb-2021,427296,2021-02-01
Mar-2021,450992,2021-03-01
Apr-2021,494672,2021-04-01
May-2021,498729,2021-05-01
Jun-2021,449019,2021-06-01
Jul-2021,454460,2021-07-01
